id,Comment,Label,source_label
ext_00137,Enadru public help ago Vishayada bagge Mathadi  ivaga jana thumba buddivantharagidare,Hate,Offensive_Targeted_Insult_Individual
ext_00138,Superb song ... Liked it,Non-Hate,Not_offensive
ext_00139,Bro neevu helodhu correct naanu kooda tik tok uninstall  maadidini.adre bad words jaasthi use maadbedi bro,Non-Hate,Not_offensive
ext_00140,Nkn benki song....#ASN,Non-Hate,Not_offensive
ext_00141,Yavado yavado hakithira realu videos madi haki elwa edana neja agedre proove madi News Ali haki,Hate,Offensive_Targeted_Insult_Group
ext_00142,Ashwathamana bagge thiliyalu raktha rathri emba yakshagana nodiri,Non-Hate,Not_offensive
ext_00143,Tik tok beda namge,Non-Hate,Not_offensive
ext_00144,Super agi baidry Anna good talking,Non-Hate,Not_offensive
ext_00145,Udupi Inda Yarella bandiddiri?,Non-Hate,Not_offensive
ext_00146,Sar bedi duty madali taraget Miss agote.....?,Non-Hate,Not_offensive
ext_00147,Kelta kelta finally idu kick kodtu. excellent,Non-Hate,Not_offensive
ext_00148,Edralli nivu enu overagi mathadilla bro,Non-Hate,Not_offensive
ext_00149,First time kannada movie film video song full bittirodu,Non-Hate,Not_offensive
ext_00150,Yen super song guru..20 times kelde innu kelbeku anstide..BGM super,Non-Hate,Not_offensive
ext_00151,super guru idhu actually chennagirodhu,Non-Hate,Not_offensive
ext_00152,Basavaraja Basavaraja basu,Non-Hate,Not_offensive
ext_00153,Who is here after 300k likes,Non-Hate,Not_offensive
ext_00154,Mast mast song,Non-Hate,Not_offensive
ext_00155,Ashwath ge Ashwathe saati nAntha Mahaan Natarige Nanndondu Doodda Salaam,Non-Hate,Not_offensive
ext_00156,@Praveen Kumar caste dog spotted bale pan yar nimammana dagar nau thane d boss fans nimammana dagar madiddu husharagi nodkoli thunne asege yar jotenadru odihodaalu 🤣🤪,Hate,Offensive_Targeted_Insult_Individual
ext_00157,Swabhimani Shankar Ashwath avru elrigu maadari... U r great sir,Non-Hate,Not_offensive
ext_00158,Edalla Corona havali mugid mele e film na re release madbeku,Non-Hate,Not_offensive
ext_00159,Dont appset sir plz,Non-Hate,Not_offensive
ext_00160,E jana thav sathru kuda Tiktok na mathra uninstall madola ansuthe 🤦 kelsa ildhe showoff goskara tiktok madi china davrna belstisdre jothege tham mana maryade na halmadkotidare thu en jananappa ige roast madi bro tiktok madorgella.,Hate,Offensive_Targeted_Insult_Other
ext_00161,@ಕಿಚ್ಚನ ಹಾವಳಿ book my show Alli pailwan 16cr kurukshetra 28cr madide nodo amele maatadu yavdu jaasti collection madide anta,Hate,Offensive_Targeted_Insult_Group
ext_00162,S sir niv helid not ja,Non-Hate,Not_offensive
ext_00163,@Sumukh M.R maga urkanbeda bido,Hate,Offensive_Targeted_Insult_Individual
ext_00164,Next song gu kuda alru andre evaga yar comment  madidera alla alrru like madi share madi nam industry na next level ge togond hogaona.,Non-Hate,Not_offensive
ext_00165,January yalli nodidavaru like madi,Non-Hate,Not_offensive
ext_00166,Volledagli sir nimge,Non-Hate,Not_offensive
ext_00167,Ondu Churu Chennagi illa,Non-Hate,Not_offensive
ext_00168,Shankar Ashwath swabhimäni,Non-Hate,Not_offensive
ext_00169,Tereya abhinayada indide jeevanada pathra,Non-Hate,Not_offensive
ext_00170,@Mahesh 13 Karnataka dalle bere bhashe movie nodor jaasthi aagidare,Non-Hate,Not_offensive
ext_00171,Namma janakke innu idara liric arta agilla.good music extraordinary liric.,Non-Hate,Not_offensive
ext_00172,Bro Hindi song sigthila,Non-Hate,Not_offensive
ext_00173,Chinna voice super jai army,Non-Hate,Not_offensive
ext_00174,Bro neev mandya Dhavara,Non-Hate,Not_offensive
ext_00175,Most liked Kannada song,Non-Hate,Not_offensive
ext_00176,Why you only tik tok anno akka sumne erma ni,Hate,Offensive_Targeted_Insult_Individual
ext_00177,Eid shreshth Avatar,Non-Hate,Not_offensive
ext_00178,Correct agi helidera super 🤣🤣,Non-Hate,Not_offensive
ext_00179,Tumba satyavada mathu kanri. Sakath bejar aguthe. Nav yargu mosa anyaya madilla.. Adru inu olleyade agtilla bega.. Eladralu struggle agtide,Non-Hate,Not_offensive
ext_00180,Nam Kannada Heroes ge Support maadade Dislike Kodtiralla Enro Neevu....  ALL THE BEST From D BOSS Fans,Non-Hate,Not_offensive
ext_00181,Super guru ....hodi hodi channagi ti....hodi e tiktok kagegalge ...,Non-Hate,Not_offensive
ext_00182,E movie li evre nan fav,Non-Hate,Not_offensive
ext_00183,32 M,Non-Hate,Not_offensive
ext_00184,yen guru nam kannada film industry na yellaru seri bere level ge tagondu hogthaa iddare... superb music,Non-Hate,Not_offensive
ext_00185,Thu dabba movie sulemagand,Hate,Offensive_Targeted_Insult_Other
ext_00186,Chiki chiki chiki chikapa nidde madidu saaku swalpa helapa!!!! WOWWWWWWWWWW mastuuuuuuu!!!!,Non-Hate,Not_offensive
ext_00187,Ellla ok kannada kammmi aytu   nimm mathalli,Hate,Offensive_Targeted_Insult_Group
ext_00188,Nice music sir,Non-Hate,Not_offensive
ext_00189,Kannad song super,Non-Hate,Not_offensive
ext_00190,Bindu gowda lofer avlu,Hate,Offensive_Targeted_Insult_Individual
ext_00191,Guru ashwattama na jote Avr Appa kuda bandidru nam urge gottilvaa nimge Krishna kuda sikkiddaa,Non-Hate,Not_offensive
ext_00192,Enu investigation nedithidya  ashwattama idara OMG nomboke agtilla devre ashwattama nija  vaglu idre it is unbelievable God please a doctor ega idre investigation Madi and a yavudho hasiru guhe andharela Ali hogi nodi inu pooje madthidhara and mate avru sikidra yarigadharu please information Kodi and good job nanna devaru Channel,Non-Hate,Not_offensive
ext_00193,video nodidare bhaya agutthe,Hate,Offensive_Targeted_Insult_Group
ext_00194,@Raj T yes,Non-Hate,Not_offensive
ext_00195,Supar guru chindi,Non-Hate,Not_offensive
ext_00196,Namma tande nu heege sir,Non-Hate,Not_offensive
ext_00197,Yen guru ulty 1 number,Non-Hate,Not_offensive
ext_00198,Sir avn height eshtu...... Age eshtu.... Kelbit heli pls,Non-Hate,Not_offensive
ext_00199,Tik tok ban maadi. Ellari India app mitron app use maadi. Adhu same tik tok tharane idhe,Non-Hate,Not_offensive
ext_00200,Promotions madro illa 3 varsha kasta pattiro du waste sgbardu,Non-Hate,Not_offensive
ext_00201,@Nandi Parthasarathi ninna akkna tullu haritini nodo iga sulemgne,Hate,Offensive_Targeted_Insult_Individual
ext_00202,Your father is a great actor.but industry nalli ollethankke bele kodalla.olle natarige sambavane kodalla.mohini maukha holuva parabasha Marina hakkondu movie dabba movie Madi,Non-Hate,Not_offensive
ext_00203,BrasthacharA  ellada deshane Ella. bharatha deshadalli  navella ondhe annodu   bhavane modhalu barbeku.  Ondhu jathiyavaru ennondhu jathiyavaru dhosisodhu  adhu kadime  aagbeku. Rajakiyadavaru navella ondhe.yella pakshadavaru ondagi desha katto kelasa aagbeku .aaga navu Hantha Hantha vagee mele barbahudhu,Non-Hate,Not_offensive
ext_00204,Rip Rashmika Mandanna In Advance,Non-Hate,Not_offensive
ext_00205,Howdu promotion illa ee tara movie ide anta gotte irlilla,Non-Hate,Not_offensive
ext_00206,Sudeep du olle movies innu idave.nnPhantom,Non-Hate,Not_offensive
ext_00207,Siri gannadam galge haakbitallapa Thu  yaro ninu lo gelge Kano adhu,Non-Hate,Not_offensive
ext_00208,Sir mate Tik tok bandideee stop madsi http,Non-Hate,Not_offensive
ext_00209,Aata barutta? 27 kke  show madtini,Non-Hate,Not_offensive
ext_00210,Etara obba adbutha nata,Non-Hate,Not_offensive
ext_00211,Mast hadu super,Non-Hate,Not_offensive
ext_00212,Comment's nali like madidre illi unlike madi (super song ) nI will coming soon back ..⏳ n100 days super it move pakka.,Non-Hate,Not_offensive
ext_00213,Rakshit bro nodi no1 tranding thogando bhandihivi Saka bro,Non-Hate,Not_offensive
ext_00214,Nivu madidu karekt,Non-Hate,Not_offensive
ext_00215,Very amazing song,Non-Hate,Not_offensive
ext_00216,Hands up e songige,Non-Hate,Not_offensive
ext_00217,@Vinay Kumar MS avn allla guru Tika urkondeddu nenu 🥴🥴,Hate,Offensive_Targeted_Insult_Individual
ext_00218,@raii rai paaapaa bro🤣,Hate,Offensive_Targeted_Insult_Individual
ext_00219,Ashwath avarge takka maga,Non-Hate,Not_offensive
ext_00220,Happy new year guru,Non-Hate,Not_offensive
ext_00221,Correct agi helde guru.. adashtu ellakade share madi,Non-Hate,Not_offensive
ext_00222,Tq bro for saport Trollers iam troller nಜೈ ಹಿಂದ್,Non-Hate,Not_offensive
ext_00223,@Yash cult Guru lo guru bere heroes na support maadidre nin gantenaadru hoguttaa? Ellaa actors avre depore,Non-Hate,Not_offensive
ext_00224,Nijvaglu  bro... Nangu same hange ansbidtu.. Avrdu google pay number iddidre nane ond ticket duddu kotbidana ansbidtu... Nam oor theater alli e film halle illa..,Non-Hate,Not_offensive
ext_00225,Anna adu real story,Non-Hate,Not_offensive
ext_00226,Rakshit anna niii,Non-Hate,Not_offensive
ext_00227,D.boss kade inda dodda wel come madtivi,Non-Hate,Not_offensive
ext_00228,Yav kaldan mare nin,Non-Hate,Not_offensive
ext_00229,Fans wars bittu Nam Kannada films belibeku annoru like madi..,Non-Hate,Not_offensive
ext_00230,Innu aagilva tiktok ban,Non-Hate,Not_offensive
ext_00231,Creative kannadiga ur super  n tiktok  users ge nive correct,Non-Hate,Not_offensive
ext_00232,Iii prends yaradru edira,Non-Hate,Not_offensive
ext_00233,@Yash cult Guru ellaa heroes andru yash na yaakappa bidtiyaa!? Example Santu straight forward,Non-Hate,Not_offensive
ext_00234,Le nimmouna thullagaa naayi tunni saabarige huttida MidArimagane,Hate,Offensive_Targeted_Insult_Individual
ext_00235,Super  songs,Non-Hate,Not_offensive
ext_00236,Super  creative   guru,Non-Hate,Not_offensive
ext_00237,Guru sakatha helidiya guru,Non-Hate,Not_offensive
ext_00238,@Prasad Hegde Elli dull ide,Non-Hate,Not_offensive
ext_00239,Lyrics super guru.,Non-Hate,Not_offensive
ext_00240,Dodda dodda natarella ellodro.. thu... you are really great sir...,Non-Hate,Not_offensive
ext_00241,Nkana nava gothala issur hudugaru,Non-Hate,Not_offensive
ext_00242,Kadu odiyuva majane bere inserted people get a answer,Hate,Offensive_Targeted_Insult_Group
ext_00243,yestu bejar Ali edhe nange nagu tadiyoke agtha Ella vidoe nodi,Non-Hate,Not_offensive
ext_00244,Awesome song ..guru ವಿಜಯ್ sir ವಾಯ್ಸ್ superb,Non-Hate,Not_offensive
ext_00245,E film nodi yaraige Shankaranag Avaru Nenapu Agidre Like madi....... nNanganthu Rakshith Ne Namma Next Shakarnag Ansittu,Non-Hate,Not_offensive
ext_00246,Nannna gelbodu endu nintanu orva   raakshasa.                         Tappalla aadare aduve oohegu meerida saahasa,Non-Hate,Not_offensive
ext_00247,@Bhimrao Naik nIde beda anta helodu,Non-Hate,Not_offensive
ext_00248,@Vinay Kumar MS nenu Kano tukali avn alla,Hate,Offensive_Targeted_Insult_Individual
ext_00249,Super song Kannada,Non-Hate,Not_offensive
ext_00250,Nam kannada songs yavglu super hit,Non-Hate,Not_offensive
ext_00251,Guru nun super super super,Non-Hate,Not_offensive
ext_00252,Nimm Attendance kodri Kelge nn,Non-Hate,Not_offensive
ext_00253,Good one in kannada.. feel great,Non-Hate,Not_offensive
ext_00254,Kannadada hemmeya asn filme annoru like madi,Non-Hate,Not_offensive
ext_00255,Nkn yan trailer guru maiye jumm anthu wow amazing,Non-Hate,Not_offensive
ext_00256,Ur brilliant.... neevu helida haage fb twitter alli comments hakta kuthkobek aaguthe,Non-Hate,Not_offensive
ext_00257,Aa bindu gowda nad innitar support madovrge hilieghtag troll madi bro life nal tiktok bagge matadbardu,Hate,Offensive_Targeted_Insult_Individual
ext_00258,Enu helede guru baidaru kuda paragilla good thingking,Non-Hate,Not_offensive
ext_00259,Tik Tok Sadegalu,Hate,Offensive_Targeted_Insult_Other
ext_00260,Wow wow wow wow wow..Lovely guru,Non-Hate,Not_offensive
ext_00261,bere language comment madbedro huligala,Hate,Offensive_Targeted_Insult_Group
ext_00262,Entha song na dislike madtiralla loafer nan makkala thu nim janumakke,Hate,Offensive_Targeted_Insult_Group
ext_00263,U r great sir. ಶ್ರಮ ಜೀವಿ,Non-Hate,Not_offensive
ext_00264,Slow poison song annoru like maadi,Non-Hate,Not_offensive
ext_00265,@Troll Stupid Fans hudgiru comment madodunne nodok bartiya bevarsi  madak kyaame ilvenoo lofer,Hate,Offensive_Targeted_Insult_Individual
ext_00266,Super Anna full gicha gili gili,Non-Hate,Not_offensive
ext_00267,E movie pakka charitre shrustisuttade,Non-Hate,Not_offensive
ext_00268,Anjali Devi  mk,Hate,Offensive_Targeted_Insult_Individual
ext_00269,Hands up! Naaney sriman Narayanan! Just felt like saying I am Bond,Non-Hate,Not_offensive
ext_00270,Yar guru neenu awesome,Non-Hate,Not_offensive
ext_00271,Correct aag helidri bro .. aa lfr ge tiktok ilde idre uta nidde baralla ansatte,Non-Hate,Not_offensive
ext_00272,Hands Up.... Addictive... Matte matte hadanna kelbeku ansatte,Non-Hate,Not_offensive
ext_00273,Syta     thumb eddini  k naaaaaa.,Non-Hate,Not_offensive
ext_00274,Nim movie scene Evaga viral aagidhe anna,Non-Hate,Not_offensive
ext_00275,4 times per day,Non-Hate,Not_offensive
ext_00276,Nijana edhu,Non-Hate,Not_offensive
ext_00277,Guru ninu super,Non-Hate,Not_offensive
ext_00278,Super Chindiii sir sakkatagi ede,Non-Hate,Not_offensive
ext_00279,FOCUS KARNATAKA howdhu 🤪,Non-Hate,Not_offensive
ext_00280,Ittheechige nodida movie DIA and love mocktail... 2 movie janake olle movie correctaagi thalupisbeku illandre heege nelakacchutthe.....  promotion maadoke social media use maadkondu janaranna thalupabeku...  innaadru industry avru yecchetthbeku,Hate,Offensive_Targeted_Insult_Group
ext_00281,Super Bro,Non-Hate,Not_offensive
ext_00282,Chindi...... madira rost,Non-Hate,Not_offensive
ext_00283,Kelsa yavdadrenu maadu guru,Non-Hate,Not_offensive
ext_00284,Esta adre mele like button ede kodtare bidapa,Non-Hate,Not_offensive
ext_00285,Those 1.3k dislikes are seems to be fan of rashmika,Hate,Offensive_Targeted_Insult_Group
ext_00286,Signature move,Non-Hate,Not_offensive
ext_00287,sanjukuamar chatnale ಲಷಣ,Non-Hate,Not_offensive
ext_00288,Nivu thumba super,Non-Hate,Not_offensive
ext_00289,Intha olle video nu dislike madiroru yentha kachada nanmaklirbeku🤦🤦🤦🤦,Hate,Offensive_Targeted_Insult_Group
